# L_m H_m fuel_kg V_kmh
3364.93 530.701 1063.97 515.335
3372.09 530.694 1065.81 515.648
3379.25 530.687 1067.65 515.961
3386.42 530.681 1069.49 516.273
3393.59 530.674 1071.33 516.586
3400.77 530.667 1073.17 516.898
3407.95 530.66 1075.01 517.21
3415.14 530.654 1076.85 517.522
3422.33 530.647 1078.69 517.834
3429.52 530.64 1080.53 518.146
3436.72 530.633 1082.37 518.458
3443.92 530.627 1084.21 518.77
3451.13 530.62 1086.06 519.081
3458.34 530.613 1087.9 519.393
3465.56 530.606 1089.74 519.704
3472.78 530.6 1091.58 520.015
3480 530.593 1093.42 520.326
3487.23 530.586 1095.26 520.637
3494.46 530.58 1097.1 520.948
3501.7 530.573 1098.94 521.259
3508.94 530.566 1100.78 521.569
3516.19 530.56 1102.62 521.88
3523.44 530.553 1104.46 522.19
3530.69 530.546 1106.3 522.501
3537.95 530.54 1108.14 522.811
3545.22 530.533 1109.98 523.121
3552.48 530.526 1111.83 523.431
3559.76 530.52 1113.67 523.74
3567.03 530.513 1115.51 524.05
3574.31 530.507 1117.35 524.36
3581.6 530.5 1119.19 524.669
3588.89 530.493 1121.03 524.978
3596.18 530.487 1122.87 525.288
3603.48 530.48 1124.71 525.597
3610.78 530.474 1126.55 525.906
3618.09 530.467 1128.39 526.214
3625.4 530.46 1130.23 526.523
3632.71 530.454 1132.07 526.832
3640.03 530.447 1133.91 527.14
3647.36 530.441 1135.75 527.449
3654.68 530.434 1137.59 527.757
3662.02 530.428 1139.44 528.065
3669.35 530.421 1141.28 528.373
3676.69 530.415 1143.12 528.681
3684.04 530.408 1144.96 528.989
3691.39 530.402 1146.8 529.296
3698.74 530.395 1148.64 529.604
3706.1 530.389 1150.48 529.911
3713.46 530.382 1152.32 530.219
3720.83 530.376 1154.16 530.526
3728.2 530.369 1156 530.833
3735.57 530.363 1157.84 531.14
3742.95 530.356 1159.68 531.447
3750.33 530.35 1161.52 531.754
3757.72 530.344 1163.36 532.06
3765.11 530.337 1165.21 532.367
3772.51 530.331 1167.05 532.673
3779.91 530.324 1168.89 532.979
3787.31 530.318 1170.73 533.285
3794.72 530.311 1172.57 533.591
3802.14 530.305 1174.41 533.897
3809.55 530.299 1176.25 534.203
3816.97 530.292 1178.09 534.509
3824.4 530.286 1179.93 534.814
3831.83 530.279 1181.77 535.12
3839.27 530.273 1183.61 535.425
3846.7 530.267 1185.45 535.73
3854.15 530.26 1187.29 536.035
3861.59 530.254 1189.13 536.34
3869.04 530.248 1190.97 536.645
3876.5 530.241 1192.82 536.95
3883.96 530.235 1194.66 537.254
3891.42 530.229 1196.5 537.559
3898.89 530.222 1198.34 537.863
3906.36 530.216 1200.18 538.167
3913.84 530.21 1202.02 538.471
3921.32 530.203 1203.86 538.775
3928.81 530.197 1205.7 539.079
3936.3 530.191 1207.54 539.383
3943.79 530.185 1209.38 539.687
3951.29 530.178 1211.22 539.99
3958.79 530.172 1213.06 540.294
3966.3 530.166 1214.9 540.597
3973.81 530.16 1216.74 540.9
3981.32 530.153 1218.58 541.203
3988.84 530.147 1220.43 541.506
3996.36 530.141 1222.27 541.809
4003.89 530.135 1224.11 542.112
4011.42 530.128 1225.95 542.414
4018.96 530.122 1227.79 542.717
4026.5 530.116 1229.63 543.019
4034.04 530.11 1231.47 543.321
4041.59 530.104 1233.31 543.623
4049.14 530.097 1235.15 543.925
4056.7 530.091 1236.99 544.227
4064.26 530.085 1238.83 544.529
4071.82 530.079 1240.67 544.83
4079.39 530.073 1242.51 545.132
4086.97 530.067 1244.35 545.433
4094.54 530.061 1246.19 545.735
4102.13 530.054 1248.04 546.036
4109.71 530.048 1249.88 546.337
4117.3 530.042 1251.72 546.638
